Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
WelcomePing JSF,597,29,15,47,66,379,3,538,100.00%,6.0,49.8,60.87
Login,4813,131,88,294,446,560,20,1028,100.00%,48.1,346.2,124.24
Login JSF,596,44,17,73,184,476,4,839,100.00%,6.0,49.9,97.32
QuotesPing JSF,6366,26,15,47,68,335,3,829,100.00%,64.1,534.6,50.39
Quotes,501,39,19,79,171,325,6,370,0.00%,46.7,213.3,59.00
Home,208,42,22,78,165,318,6,374,0.00%,19.2,87.8,62.37
Portfolio,248,33,19,56,158,331,6,348,0.00%,24.5,112.1,51.15
Account,140,39,17,60,248,343,6,357,0.00%,14.9,67.9,68.96
Quotes JSF,6841,51,18,112,316,462,3,868,100.00%,69.0,574.7,97.97
Home JSF,3096,47,16,97,293,455,3,881,100.00%,31.2,260.7,92.48
Account JSF,2320,49,17,108,301,474,3,821,100.00%,23.4,195.4,98.10
Logout,59,66,37,156,231,304,7,344,0.00%,5.6,25.7,73.32
WS1 open close,1277,39,12,60,276,422,3,806,100.00%,12.9,.0,87.49
Buy,26,44,21,108,191,234,8,234,0.00%,3.4,15.7,58.44
Portfolio JSF,2981,47,16,94,285,460,3,885,100.00%,30.2,251.8,93.19
HomePing JSF,748,23,15,41,56,154,3,487,100.00%,7.6,63.4,34.60
Logout JSF,748,48,17,111,306,459,4,597,100.00%,7.6,63.3,94.04
Update Profile,17,22,17,28,33,96,8,96,0.00%,2.3,10.3,19.80
PortfolioPing JSF,400,43,16,77,257,408,4,592,100.00%,4.1,34.0,85.26
QuotePing JSF,480,47,17,104,269,437,4,780,100.00%,4.9,41.1,92.47
Register Page,16,6,6,9,11,18,2,18,0.00%,2.4,15.4,3.63
Buy JSF,478,55,18,152,361,460,4,833,100.00%,4.9,41.2,106.30
Register,16,289,256,387,389,437,178,437,0.00%,2.4,19.4,83.95
RegisterPing,179,21,13,42,55,86,4,404,100.00%,1.9,15.6,33.04
Register JSF,179,40,15,77,216,325,4,479,100.00%,1.9,15.5,72.02
Update Profile JSF,326,54,19,177,335,459,4,496,100.00%,3.4,28.7,99.31
TOTAL,33656,55,20,128,280,477,2,1028,96.34%,336.7,2600.5,96.62
